cli_pl_header	cli_pl_body	cli_cont_len	srv_pl_header	srv_pl_body	srv_cont_len	aggregated_sessions	bytes	net_samples	tcp_frag	tcp_pkts	tcp_retr	tcp_ooo	cli_tcp_pkts	cli_tcp_ooo	cli_tcp_retr	cli_tcp_frag	cli_tcp_empty	cli_win_change	cli_win_zero	cli_tcp_full	cli_tcp_tot_bytes	cli_pl_tot	cli_pl_change	srv_tcp_pkts	srv_tcp_ooo	srv_tcp_retr	srv_tcp_frag	srv_tcp_empty	srv_win_change	srv_win_zero	srv_tcp_full	srv_tcp_tot_bytes	srv_pl_tot	srv_pl_change	srv_tcp_win	srv_tx_time	cli_tcp_win	client_latency	application_latency	cli_tx_time	load_time	server_latency	proxy	sp_healthscore	sp_req_duration	sp_is_lat	sp_error	throughput
595	0	0	238	1356	1356	1	4982	1	0	10	3	0	6	0	1	0	4	2	0	0	1562	595	1	4	0	2	0	0	0	0	0	3420	1594	2	61824	0.013	67456	159.429	4.035	0.0	322.906	2.017	0	0	0	0	0	15.428638675
270	0	0	265	0	2245	1	1251	1	0	10	0	0	5	0	0	0	4	1	0	0	628	270	1	5	0	0	0	4	1	0	0	623	265	1	1728	0.0	6912	0.041	8.238	0.0	8.32	3.675	0	0	0	0	0	150.360576923
287	0	0	265	0	1707	1	1172	1	0	10	0	0	5	0	0	0	4	1	0	0	591	287	1	5	0	0	0	4	1	0	0	581	265	1	15544	0.0	15544	0.075	104.497	0.0	104.647	3.755	0	0	0	0	0	11.1995566046
270	0	0	265	0	2245	1	2502	1	0	20	2	0	10	0	1	0	8	2	0	0	1256	270	1	10	0	1	0	8	2	0	0	1246	265	1	1728	0.0	6912	0.031	8.232	0.0	8.294	3.666	0	0	0	0	0	301.663853388
287	0	0	265	0	1707	1	2368	1	0	20	2	0	10	0	1	0	8	1	0	0	1206	287	1	10	0	1	0	8	1	0	0	1162	265	1	15544	0.0	15544	0.137	103.55	0.0	103.824	3.504	0	0	0	0	0	22.8078286331
287	0	0	265	0	1707	1	2368	1	0	20	2	0	10	0	1	0	8	1	0	0	1206	287	1	10	0	1	0	8	1	0	0	1162	265	1	15544	0.0	15544	0.09	104.406	0.0	104.586	3.751	0	0	0	0	0	22.6416537586
270	0	0	265	0	2245	1	2502	1	0	20	2	0	10	0	1	0	8	2	0	0	1256	270	1	10	0	1	0	8	2	0	0	1246	265	1	1728	0.0	6912	0.119	7.46	0.0	7.698	3.392	0	0	0	0	0	325.019485581
269	0	0	265	2245	2245	1	3635	1	0	12	0	0	6	0	0	0	5	2	0	0	697	269	1	6	0	0	0	4	2	0	1	2938	2510	2	2912	0.171	11648	0.028	9.43	0.0	9.657	3.727	0	0	0	0	0	376.410893652
269	0	0	265	2245	2245	1	7270	1	0	24	3	0	12	0	1	0	10	3	0	0	1394	269	1	12	0	2	0	8	3	0	2	5876	2510	2	2912	0.212	11648	0.01	9.442	0.0	9.674	3.75	0	0	0	0	0	751.498862932
269	0	0	265	2245	2245	1	7270	1	0	24	3	0	12	0	1	0	10	3	0	0	1394	269	1	12	0	2	0	8	2	0	2	5876	2510	2	2912	0.096	11648	0.14	8.532	0.0	8.908	3.407	0	0	0	0	0	816.120341266
667	0	0	335	96146	96146	1	105983	1	0	115	1	0	42	0	0	0	41	0	0	0	3619	667	1	73	0	1	0	0	0	0	0	102364	96481	2	1045888	221.563	522944	35.307	2.633	0.0	294.81	1.316	0	0	0	0	0	359.495946542
667	0	0	335	96146	96146	1	211966	1	0	230	75	0	84	0	1	0	82	0	0	0	7238	667	1	146	0	74	0	0	0	0	0	204728	96481	2	1045888	221.617	522944	35.306	2.668	0.0	294.897	1.334	0	0	0	0	0	718.779777346
667	0	0	335	96146	96146	1	211966	1	0	230	75	0	84	0	1	0	82	0	0	0	7238	667	1	146	0	74	0	0	0	0	0	204728	96481	2	1045888	221.632	522944	35.115	3.263	0.0	295.125	1.631	0	0	0	0	0	718.224481152
303	0	0	265	0	1576	1	2568	1	0	20	2	0	10	0	1	0	8	2	0	0	1322	303	1	10	0	1	0	8	2	0	0	1246	265	1	55296	0.0	6912	3.703	344.446	0.0	351.852	4.289	0	0	0	0	0	7.29852324273
303	0	0	265	0	1576	1	2568	1	0	20	2	0	10	0	1	0	8	2	0	0	1322	303	1	10	0	1	0	8	2	0	0	1246	265	1	55296	0.0	6912	3.894	343.4	0.0	351.188	3.902	0	0	0	0	0	7.31232274451
287	0	0	265	0	1707	1	1172	1	0	10	0	0	5	0	0	0	4	1	0	0	591	287	1	5	0	0	0	4	1	0	0	581	265	1	15544	0.0	15544	0.058	11.642	0.0	11.758	4.157	0	0	0	0	0	99.676815785
287	0	0	265	0	1707	1	2368	1	0	20	2	0	10	0	1	0	8	1	0	0	1206	287	1	10	0	1	0	8	1	0	0	1162	265	1	15544	0.0	15544	0.05	11.628	0.0	11.728	4.138	0	0	0	0	0	201.909959072
287	0	0	265	0	1707	1	2368	1	0	20	2	0	10	0	1	0	8	1	0	0	1206	287	1	10	0	1	0	8	1	0	0	1162	265	1	15544	0.0	15544	0.184	10.762	0.0	11.13	3.805	0	0	0	0	0	212.758310872
270	0	0	265	0	2414	1	1251	1	0	10	0	0	5	0	0	0	4	1	0	0	628	270	1	5	0	0	0	4	1	0	0	623	265	1	1728	0.0	6912	0.058	8.94	0.0	9.056	4.254	0	0	0	0	0	138.140459364
269	0	0	265	0	2386	1	1250	1	0	10	0	0	5	0	0	0	4	1	0	0	627	269	1	5	0	0	0	4	1	0	0	623	265	1	3936	0.0	15744	0.071	230.057	0.0	230.199	3.538	0	0	0	0	0	5.43008440523
270	0	0	265	0	2245	1	1251	1	0	10	0	0	5	0	0	0	4	1	0	0	628	270	1	5	0	0	0	4	1	0	0	623	265	1	1728	0.0	6912	0.022	8.357	0.0	8.401	4.087	0	0	0	0	0	148.910843947
269	0	0	265	0	2386	1	1250	1	0	10	0	0	5	0	0	0	4	1	0	0	627	269	1	5	0	0	0	4	1	0	0	623	265	1	3936	0.0	15744	0.051	22.633	0.0	22.735	3.923	0	0	0	0	0	54.9813063558
303	0	0	265	0	1576	1	2568	1	0	20	2	0	10	0	1	0	8	2	0	0	1322	303	1	10	0	1	0	8	2	0	0	1246	265	1	55296	0.0	6912	3.059	7.845	0.0	13.963	3.348	0	0	0	0	0	183.914631526
270	0	0	265	0	2245	1	2502	1	0	20	2	0	10	0	1	0	8	2	0	0	1256	270	1	10	0	1	0	8	2	0	0	1246	265	1	1728	0.0	6912	0.048	8.313	0.0	8.409	4.087	0	0	0	0	0	297.538351766
270	0	0	265	0	2414	1	2502	1	0	20	2	0	10	0	1	0	8	2	0	0	1256	270	1	10	0	1	0	8	2	0	0	1246	265	1	1728	0.0	6912	0.048	8.884	0.0	8.98	4.199	0	0	0	0	0	278.619153675
269	0	0	265	0	2386	1	2500	1	0	20	2	0	10	0	1	0	8	2	0	0	1254	269	1	10	0	1	0	8	2	0	0	1246	265	1	3936	0.0	15744	0.184	21.563	0.0	21.931	3.54	0	0	0	0	0	113.993889927
270	0	0	265	0	2245	1	2502	1	0	20	2	0	10	0	1	0	8	2	0	0	1256	270	1	10	0	1	0	8	2	0	0	1246	265	1	1728	0.0	6912	0.13	7.566	0.0	7.826	3.744	0	0	0	0	0	319.703552262
269	0	0	265	0	2386	1	2500	1	0	20	2	0	10	0	1	0	8	2	0	0	1254	269	1	10	0	1	0	8	2	0	0	1246	265	1	3936	0.0	15744	0.138	229.332	0.0	229.608	3.211	0	0	0	0	0	10.8881223651
270	0	0	265	0	2414	1	2502	1	0	20	2	0	10	0	1	0	8	2	0	0	1256	270	1	10	0	1	0	8	2	0	0	1246	265	1	1728	0.0	6912	0.195	8.26	0.0	8.65	3.915	0	0	0	0	0	289.248554913
303	0	0	265	0	1576	1	2568	1	0	20	2	0	10	0	1	0	8	2	0	0	1322	303	1	10	0	1	0	8	2	0	0	1246	265	1	55296	0.0	6912	2.939	8.681	0.0	14.559	3.9	0	0	0	0	0	176.385740779
269	0	0	265	0	2386	1	2500	1	0	20	2	0	10	0	1	0	8	2	0	0	1254	269	1	10	0	1	0	8	2	0	0	1246	265	1	3936	0.0	15744	0.066	22.575	0.0	22.707	3.819	0	0	0	0	0	110.098207601
269	0	0	265	0	2386	1	2500	1	0	20	2	0	10	0	1	0	8	2	0	0	1254	269	1	10	0	1	0	8	2	0	0	1246	265	1	3936	0.0	15744	0.07	230.048	0.0	230.188	3.536	0	0	0	0	0	10.8606877856
303	0	0	265	0	1576	1	2568	1	0	20	2	0	10	0	1	0	8	2	0	0	1322	303	1	10	0	1	0	8	2	0	0	1246	265	1	55296	0.0	6912	3.375	8.644	0.0	15.394	3.949	0	0	0	0	0	166.818240873
303	0	0	265	0	1576	1	2568	1	0	20	2	0	10	0	1	0	8	2	0	0	1322	303	1	10	0	1	0	8	2	0	0	1246	265	1	55296	0.0	6912	3.532	7.757	0.0	14.821	3.722	0	0	0	0	0	173.267660752
287	0	0	265	0	1707	1	2368	1	0	20	2	0	10	0	1	0	8	1	0	0	1206	287	1	10	0	1	0	8	1	0	0	1162	265	1	15544	0.0	15544	0.235	7.536	0.0	8.006	3.62	0	0	0	0	0	295.778166375
287	0	0	265	0	1707	1	1172	1	0	10	0	0	5	0	0	0	4	1	0	0	591	287	1	5	0	0	0	4	1	0	0	581	265	1	15544	0.0	15544	0.031	8.522	0.0	8.584	3.875	0	0	0	0	0	136.533084809
270	0	0	265	0	2245	1	1251	1	0	10	0	0	5	0	0	0	4	1	0	0	628	270	1	5	0	0	0	4	1	0	0	623	265	1	1728	0.0	6912	0.023	8.294	0.0	8.34	3.498	0	0	0	0	0	150.0
287	0	0	265	0	1707	1	2368	1	0	20	2	0	10	0	1	0	8	1	0	0	1206	287	1	10	0	1	0	8	1	0	0	1162	265	1	15544	0.0	15544	0.061	8.455	0.0	8.577	3.837	0	0	0	0	0	276.08720998
270	0	0	265	0	2245	1	2502	1	0	20	2	0	10	0	1	0	8	2	0	0	1256	270	1	10	0	1	0	8	2	0	0	1246	265	1	1728	0.0	6912	0.117	7.614	0.0	7.848	3.178	0	0	0	0	0	318.80733945
270	0	0	265	0	2245	1	2502	1	0	20	2	0	10	0	1	0	8	2	0	0	1256	270	1	10	0	1	0	8	2	0	0	1246	265	1	1728	0.0	6912	0.051	8.203	0.0	8.305	3.476	0	0	0	0	0	301.264298615
268	0	0	265	2386	2386	1	3915	1	0	14	0	0	7	0	0	0	6	3	0	0	766	268	1	7	0	0	0	4	3	0	1	3149	2651	3	5376	0.504	21504	0.015	38.839	0.0	39.373	3.784	0	0	0	0	0	99.4336220252
269	0	0	265	2414	2414	1	3804	1	0	12	0	0	6	0	0	0	5	2	0	0	697	269	1	6	0	0	0	4	2	0	1	3107	2679	2	2912	0.167	11648	0.009	9.405	0.0	9.59	3.897	0	0	0	0	0	396.663190824
268	0	0	265	2386	2386	1	3775	1	0	12	0	0	6	0	0	0	5	2	0	0	696	268	1	6	0	0	0	4	2	0	1	3079	2651	2	5120	1.36	20480	0.041	13.269	0.0	14.711	3.813	0	0	0	0	0	256.610699477
269	0	0	265	2414	2414	1	7608	1	0	24	3	0	12	0	1	0	10	3	0	0	1394	269	1	12	0	2	0	8	3	0	2	6214	2679	2	2912	0.161	11648	0.04	9.377	0.0	9.618	3.898	0	0	0	0	0	791.016843419
268	0	0	265	2386	2386	1	7550	1	0	24	3	0	12	0	1	0	10	3	0	0	1392	268	1	12	0	2	0	8	3	0	2	6158	2651	2	5120	1.448	20480	0.017	13.184	0.0	14.666	3.794	0	0	0	0	0	514.796127097
268	0	0	265	2386	2386	1	7550	1	0	24	3	0	12	0	1	0	10	3	0	0	1392	268	1	12	0	2	0	8	3	0	2	6158	2651	2	5120	1.578	20480	0.251	12.288	0.0	14.368	3.447	0	0	0	0	0	525.473273942
268	0	0	265	2386	2386	1	7830	1	0	28	4	0	14	0	1	0	12	4	0	0	1532	268	1	14	0	3	0	8	2	0	2	6298	2651	3	5376	0.39	21504	0.148	38.121	0.0	38.807	3.449	0	0	0	0	0	201.767722318
